epoch	loss	acc	val_loss	val_acc
0	2.344701470750751	0.12121212482452393	1.8620907465616863	0.1111111119389534
1	2.207603541287509	0.1515151560306549	2.1436877250671387	0.1111111119389534
2	1.9362712701161702	0.1818181872367859	1.9303224086761475	0.1111111119389534
3	2.266634605147622	0.1515151560306549	1.8937026924557157	0.1111111119389534
4	2.1188984350724653	0.09090909361839294	1.8379197650485568	0.1111111119389534
5	1.9992478110573508	0.27272728085517883	1.9182651572757297	0.1111111119389534
6	2.0187850215218286	0.06060606241226196	1.7956233421961467	0.2222222238779068
7	1.979349931081136	0.21212121844291687	1.8581752247280545	0.2222222238779068
8	2.0669962709600274	0.1818181872367859	1.908949163224962	0.1111111119389534
9	1.803144324909557	0.27272728085517883	1.8413240644666884	0.2222222238779068
10	2.029326496702252	0.1515151560306549	1.864445514149136	0.2222222238779068
11	2.018973061532685	0.03030303120613098	1.8638662497202556	0.2222222238779068
12	2.0292149095824272	0.1515151560306549	1.8982352680630155	0.1111111119389534
13	1.9586567625854954	0.1818181872367859	1.86066116227044	0.2222222238779068
14	2.003902464201956	0.1515151560306549	1.8628312084409926	0.1111111119389534
15	1.942852092511726	0.1818181872367859	1.7909339269002278	0.2222222238779068
16	2.0466740059130117	0.06060606241226196	1.8146668672561646	0.2222222238779068
17	2.037223302956783	0.12121212482452393	1.9212182097964816	0.1111111119389534
18	1.9787993864579634	0.1515151560306549	1.8595367007785373	0.1111111119389534
19	1.9032051346518777	0.1515151560306549	1.810091707441542	0.1111111119389534
20	2.004623759876598	0.27272728085517883	1.782255596584744	0.2222222238779068
21	2.1433285799893467	0.06060606241226196	1.8334782653384738	0.1111111119389534
22	2.0965483116381094	0.12121212482452393	1.9095046520233154	0.1111111119389534
23	1.977907202460549	0.09090909361839294	1.8209894630644057	0.2222222238779068
24	2.0297871755831167	0.12121212482452393	1.9312116569942899	0.1111111119389534
25	2.126653396722042	0.06060606241226196	1.8951650990380182	0.1111111119389534
26	1.9820695573633367	0.1515151560306549	1.7732714944415622	0.2222222238779068
27	1.8062727017836138	0.1515151560306549	1.766071531507704	0.2222222238779068
28	1.9446183262449321	0.21212121844291687	1.771329402923584	0.2222222238779068
29	1.8450184735384854	0.1818181872367859	1.8413580258687336	0.1111111119389534
30	2.0114388465881348	0.12121212482452393	1.9488860501183405	0.1111111119389534
31	1.9874576005068691	0.27272728085517883	1.9544377856784396	0.1111111119389534
32	1.9917186029029614	0.1515151560306549	1.8625264432695177	0.1111111119389534
33	2.0862838860714072	0.12121212482452393	1.8476908869213529	0.1111111119389534
34	1.931006518277255	0.21212121844291687	1.859113269382053	0.1111111119389534
35	1.967767556508382	0.09090909361839294	1.8131770028008356	0.1111111119389534
36	1.9936388405886563	0.12121212482452393	1.8415870666503906	0.1111111119389534
37	1.8950424266583992	0.21212121844291687	1.8467054499520197	0.2222222238779068
38	1.9663187662760417	0.09090909361839294	1.8960819244384766	0.1111111119389534
39	1.8663037545753247	0.24242424964904785	1.888432953092787	0.1111111119389534
40	1.9301998109528513	0.21212121844291687	1.9077107906341553	0.1111111119389534
41	1.9171937956954495	0.24242424964904785	1.8283913003073797	0.1111111119389534
42	1.9273248007803252	0.1515151560306549	1.7981529500749376	0.2222222238779068
43	2.0077399196046772	0.09090909361839294	1.782549301783244	0.2222222238779068
44	1.9261869770107847	0.12121212482452393	1.8299408753712971	0.1111111119389534
45	1.8929382309769138	0.24242424964904785	1.9046902921464708	0.1111111119389534
46	1.8543109171318286	0.24242424964904785	1.8417407671610515	0.1111111119389534
